Organization Group,Job,Total Compensation
Community Health,Special Nurse,43598.84
"Public Works, Transportation & Commerce",Custodian,94984.4
Community Health,Surgical Procedures Technician,137716.87
"Public Works, Transportation & Commerce",Transit Car Cleaner,117782.48
Public Protection,Deputy Chief 3,357079.45
"Public Works, Transportation & Commerce",Electrician,87824.26
Community Health,Special Nurse,26502.93
Community Health,Special Nurse,11756.98
"Public Works, Transportation & Commerce",Traffic Signal Electrician,155298.28
General Administration & Finance,Prnpl Admin Analyst II,165389.75
"Public Works, Transportation & Commerce",Fare Collections Receiver,101006.55
General Administration & Finance,Attorney (Civil/Criminal),171493.93
Community Health,Special Nurse,75456.56
Culture & Recreation,Recreation Leader,13516.32
General Administration & Finance,Executive Secretary 3,75074.66
Public Protection,Police Officer,79607.65
"Public Works, Transportation & Commerce",Asphalt Worker,76946.59
Public Protection,Manager IV,202064.22
Public Protection,EMT/Paramedic/Firefighter,146433.27
Community Health,Physical Therapist,40250.78
Culture & Recreation,Library Assistant,65050.56
General Administration & Finance,Attorney (Civil/Criminal),246506.47
Culture & Recreation,Gardener,14535.29
Community Health,Registered Nurse,208089.8
Human Welfare & Neighborhood Development,Public Service Trainee,17166.52
General Administration & Finance,Benefits Technician,25504.09
Public Protection,Deputy Sheriff (SFERS),133579.59
Community Health,Pharmacy Technician,51158.03
Community Health,Special Nurse,82580.28
"Public Works, Transportation & Commerce",Transit Operator,74286.66
"Public Works, Transportation & Commerce","Chf Statnry Eng,Wtrtreat Plnt",97212.67
Human Welfare & Neighborhood Development,HSA Social Worker,116437.09
Human Welfare & Neighborhood Development,Senior Administrative Analyst,68965.55
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,31720.15
Human Welfare & Neighborhood Development,Protective Services Worker,139464.43
Community Health,Food Service Worker,48512.0
"Public Works, Transportation & Commerce",Transit Operator,122330.2
Community Health,Food Service Worker,82485.83
Human Welfare & Neighborhood Development,Employment & Training Spec 1,41917.81
General Administration & Finance,Manager IV,124631.88
Human Welfare & Neighborhood Development,Citizens Complaint Officer,100899.97
Public Protection,Sergeant 3,212923.07
Community Health,Dental Aide,106099.34
Human Welfare & Neighborhood Development,Public Service Trainee,17234.99
Public Protection,Deputy Sheriff,215737.33
Community Health,Senior Clerk,86941.07
General Administration & Finance,Custodian,90143.66
Community Health,Physician Specialist,50109.74
"Public Works, Transportation & Commerce",Steamfitter,151233.64
Public Protection,"Lieutenant, Fire Suppression",157898.56
Community Health,Medical Evaluations Assistant,93093.47
"Public Works, Transportation & Commerce",Window Cleaner,112020.06
Public Protection,Police Officer 3,198197.43
Community Health,Epidemiologist 2,145027.2
"Public Works, Transportation & Commerce",Airport Operations Supervisor,153773.64
Public Protection,Clerk Typist,102805.63
General Administration & Finance,Clerk,67049.85
"Public Works, Transportation & Commerce",IT Operations Support Admn III,125416.45
Public Protection,Police Officer 3,13309.02
"Public Works, Transportation & Commerce",Pr Administrative Analyst,146293.94
Human Welfare & Neighborhood Development,Public Service Trainee,15060.79
"Public Works, Transportation & Commerce",Assoc Engineer,162479.06
"Public Works, Transportation & Commerce",Regulatory Specialist,148793.82
Public Protection,Deputy Court Clerk II,77039.43
Public Protection,Police Officer,123336.24
Community Health,Food Service Worker,38479.16
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",23841.31
"Public Works, Transportation & Commerce",Transit Car Cleaner,136683.38
Community Health,Public Health Nurse,198946.25
Community Health,Nurse Manager,226376.73
Culture & Recreation,Recreation Leader,15536.93
"Public Works, Transportation & Commerce",Publ Svc Aide-Asst To Prof,18818.8
Public Protection,Firefighter,213232.47
"Public Works, Transportation & Commerce",Secretary 1,88915.77
Community Health,Sr Psychiatric Social Worker,83223.91
Public Protection,Firefighter,189611.44
Public Protection,"Director, Probation Services",183913.67
"Public Works, Transportation & Commerce",Research Assistant,105644.56
Culture & Recreation,Recreation Specialist,91045.47
Community Health,PS Aide Health Services,50122.72
"Public Works, Transportation & Commerce",Transit Operator,133781.29
Public Protection,"Captain, Fire Suppression",247593.83
Public Protection,Firefighter,183573.27
General Administration & Finance,Senior Real Property Appraiser,144782.48
"Public Works, Transportation & Commerce",Watershed Keeper,109164.05
Public Protection,Police Officer,143303.57
Culture & Recreation,Dep Dir II,208443.38
"Public Works, Transportation & Commerce",Transit Operator,117124.37
Public Protection,Sergeant 3,195939.13
Community Health,Registered Nurse,140908.47
Public Protection,Police Officer,61969.2
Public Protection,Deputy Sheriff,176570.74
General Administration & Finance,IS Engineer-Senior,203234.44
Community Health,Medical Evaluations Assistant,93384.59
"Public Works, Transportation & Commerce",Custodian,87334.51
General Administration & Finance,Custodian,67301.57
Community Health,Unit Clerk,94094.1
Public Protection,Firefighter,135956.23
Public Protection,Attorney (Civil/Criminal),170246.2
Community Health,Psychiatric Social Worker,122513.44
Community Health,Senior Clerk,77557.44
Community Health,IS Prg Analyst-Principal,136648.92
Public Protection,Firefighter,186883.98
Public Protection,"Lieutenant, Fire Suppression",232185.39
"Public Works, Transportation & Commerce",Architectural Assistant 1,98777.44
Public Protection,Firefighter,230687.09
Public Protection,Senior Deputy Sheriff,293073.21
"Public Works, Transportation & Commerce",Wastewater Control Inspector,129096.31
"Public Works, Transportation & Commerce",Communications Dispatcher 1,28106.67
Public Protection,Sergeant 3,218588.93
General Administration & Finance,Accountant III,122060.42
General Administration & Finance,Training Officer,131056.67
"Public Works, Transportation & Commerce",Publ Svc Aide-Asst To Prof,23565.18
Culture & Recreation,Stationary Engineer,65463.23
Culture & Recreation,Bldg & Grounds Patrol Officer,108205.33
Community Health,Nurse Practitioner,262891.41
Public Protection,EMT/Paramedic/Firefighter,150610.13
"Public Works, Transportation & Commerce",Transit Manager 1,103802.62
"Public Works, Transportation & Commerce",Accountant IV,35928.85
Public Protection,Police Officer 3,179470.22
Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,133734.44
"Public Works, Transportation & Commerce",Sprv Wastewater Cont Inspector,161813.99
Culture & Recreation,Library Technical Assistant 1,57936.56
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,165021.45
Culture & Recreation,Library Technical Assistant 1,106935.71
Community Health,Rehabilitation Counselor,113443.96
"Public Works, Transportation & Commerce",Carpenter Supervisor 1,167252.74
"Public Works, Transportation & Commerce",Offset Machine Operator,93137.53
General Administration & Finance,Customer Service Agent,112019.73
"Public Works, Transportation & Commerce",Transit Operator,113516.11
"Public Works, Transportation & Commerce",Manager I,162312.52
General Administration & Finance,Real Property Appraiser,71424.71
"Public Works, Transportation & Commerce",Truck Driver,142637.87
"Public Works, Transportation & Commerce",Water Qualitytech I/II,108947.79
Public Protection,Police Officer,131235.27
"Public Works, Transportation & Commerce",Transit Car Cleaner,75801.1
"Public Works, Transportation & Commerce",General Laborer,96714.09
Public Protection,Firefighter,251443.32
Community Health,Nursing Assistant,109003.08
Public Protection,Community Police Services Aide,117268.75
Public Protection,"Sprv Prob Ofc, Juv Court",149150.12
"Public Works, Transportation & Commerce",Accountant II,36214.17
"Public Works, Transportation & Commerce",Bldgs & Grounds Maint Supt,224270.42
Community Health,Cook,125378.15
"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",17363.47
Culture & Recreation,Librarian 2,45822.91
Human Welfare & Neighborhood Development,Estate Investigator,119402.63
Community Health,Health Worker 3,14820.77
"Public Works, Transportation & Commerce",Watershed Worker (Seasonal),24548.26
Community Health,Senior Physician Specialist,131118.56
"Public Works, Transportation & Commerce",Lighting Fixture Maint Worker,16591.34
Public Protection,Program Support Analyst,124019.35
Public Protection,Sergeant 3,193254.87
General Administration & Finance,Custodial Supervisor,91312.54
General Administration & Finance,Contract Compliance Officer 2,36454.16
"Public Works, Transportation & Commerce",General Laborer,106941.03
"Public Works, Transportation & Commerce",Junior Administrative Analyst,89878.74
Community Health,Eligibility Worker,32854.48
Culture & Recreation,Recreation Leader,14398.8
Community Health,Special Nurse,29045.72
Public Protection,Police Officer 3,227033.76
Community Health,Medical Social Worker,97540.18
Public Protection,Attorney (Civil/Criminal),251046.92
Public Protection,Police Officer 3,171652.44
"Public Works, Transportation & Commerce",Environmental Spec,126791.9
"Public Works, Transportation & Commerce",Custodian,73108.84
Community Health,Eligibility Worker,99698.75
"Public Works, Transportation & Commerce",Manager VI,253693.09
"Public Works, Transportation & Commerce",Transit Operator,106674.83
Community Health,Porter,31187.02
General Administration & Finance,IS Business Analyst-Senior,155925.09
Community Health,Occupational Therapist,64527.93
Public Protection,Sheriff's Property Keeper,35488.13
Community Health,Home Health Aide,52887.53
"Public Works, Transportation & Commerce",Painter,49992.54
Public Protection,Sergeant 3,212303.93
"Public Works, Transportation & Commerce","Manager VIII, MTA",249567.84
General Administration & Finance,Senior Personnel Analyst,112885.56
Culture & Recreation,Custodian,93971.55
Public Protection,Sergeant 3,231319.66
"Public Works, Transportation & Commerce",Statnry Eng Water Treat Plant,160221.19
Community Health,Health Worker 3,100837.23
Public Protection,Fingerprint Technician 3,122579.99
Public Protection,Police Officer 2,156093.15
General Administration & Finance,Attorney (Civil/Criminal),251145.91
Community Health,Registered Nurse,170850.86
"Public Works, Transportation & Commerce",Parking Control Officer,115267.45
"Public Works, Transportation & Commerce","Chf Statnry Eng,Wtrtreat Plnt",173208.15
"Public Works, Transportation & Commerce",PS Aide To Prof,19147.36
Human Welfare & Neighborhood Development,Principal Environ Specialist,162460.49
"Public Works, Transportation & Commerce",Accountant II,27023.14
Community Health,Registered Nurse,108085.3
Community Health,Health Worker 2,92157.68
Community Health,Senior Administrative Analyst,143484.39
"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,211198.7
"Public Works, Transportation & Commerce",Senior Administrative Analyst,47513.71
"Public Works, Transportation & Commerce",General Laborer,25150.95
"Public Works, Transportation & Commerce",Transit Supervisor,129100.91
General Administration & Finance,Public Service Trainee,10780.35
"Public Works, Transportation & Commerce",Painter,121183.69
"Public Works, Transportation & Commerce",Asphalt Finisher Supervisor 1,90327.53
Public Protection,Firefighter,173889.06
Community Health,Nurse Practitioner,118639.56
Public Protection,Police Officer 3,178181.64
Culture & Recreation,Library Page,39884.78
Community Health,Registered Nurse,191176.84
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,12708.55
Community Health,Registered Nurse,104064.34
Public Protection,Sheriff's Cadet,79668.51
"Public Works, Transportation & Commerce",Transit Operator,123503.98
Community Health,Special Nurse,14651.84
Community Health,Physician Assistant,228428.14
Public Protection,Lieutenant 3,211340.33
Public Protection,Deputy Sheriff,156055.5
"Public Works, Transportation & Commerce",Transit Operator,118031.08
"Public Works, Transportation & Commerce",Transit Operator,10211.11
"Public Works, Transportation & Commerce",Transit Operator,58071.34
Public Protection,Police Cadet,20980.18
Community Health,PS Aide Health Services,42572.12
Public Protection,Firefighter,15721.54
General Administration & Finance,Personal Property Auditor,113692.31
"Public Works, Transportation & Commerce","Investigator,Taxi & Accesssvcs",128677.3
"Public Works, Transportation & Commerce",Transit Supervisor,209232.08
Public Protection,Police Officer 2,128463.57
Community Health,Manager I,171744.86
Public Protection,"Counselor, Juvenile Hall",123775.94
"Public Works, Transportation & Commerce",Senior Administrative Analyst,121026.7
Culture & Recreation,Library Page,70029.84
"Public Works, Transportation & Commerce",Senior Personnel Analyst,140709.33
Public Protection,Deputy Sheriff,153548.89
Community Health,Registered Nurse,160656.96
"Public Works, Transportation & Commerce",Transit Operator,99664.98
Community Health,Patient Care Assistant,109744.97
Community Health,Pharmacy Technician,119184.21
Human Welfare & Neighborhood Development,Employment & Training Spec 3,120826.34
Human Welfare & Neighborhood Development,Senior Eligibility Worker,19614.14
Public Protection,Deputy Court Clerk III,130149.7
Community Health,Medical Records Technician,105537.67
Culture & Recreation,Management Assistant,48300.76
Human Welfare & Neighborhood Development,Senior Eligibility Worker,99439.0
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",15183.68
"Public Works, Transportation & Commerce",Museum Preparator,22693.79
Community Health,Registered Nurse,166309.67
Public Protection,Senior Clerk Typist,92692.85
Community Health,Nurse Manager,154192.67
Culture & Recreation,Library Assistant,42689.53
"Public Works, Transportation & Commerce",General Laborer,23860.63
Public Protection,Police Officer 2,95292.34
"Public Works, Transportation & Commerce",Automotive Body & Fender Wrk,131951.37
"Public Works, Transportation & Commerce",Pr Payroll & Personnel Clerk,51234.47
Public Protection,EMT/Paramedic/Firefighter,209132.41
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,17720.01
Culture & Recreation,Museum Guard,26142.58
Public Protection,Deputy Sheriff,137959.33
"Public Works, Transportation & Commerce",Senior Account Clerk,15740.27
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,129030.07
General Administration & Finance,Sr Personal Property Auditor,142339.92
Community Health,Special Nurse,20675.53
Public Protection,Firefighter,142297.92
Public Protection,"Invstgtor,Fire Dept",103937.27
Public Protection,Firefighter,175762.11
Public Protection,"Lieutenant, Fire Suppression",250612.07
Community Health,Unit Clerk,97986.91
Public Protection,Sheriff's Cadet,80503.38
Culture & Recreation,Custodian,27031.35
Community Health,Eligibility Worker,65000.85
"Public Works, Transportation & Commerce",Transit Operator,100482.37
Public Protection,Community Police Services Aide,111134.85
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,152927.11
General Administration & Finance,IS Business Analyst-Senior,145066.75
Public Protection,Police Officer,120035.74
"Public Works, Transportation & Commerce",Senior Clerk,39885.56
Community Health,Public Health Nurse,108624.5
General Administration & Finance,Legal Secretary 1,111344.37
"Public Works, Transportation & Commerce",Transit Operator,124008.47
Community Health,Special Nurse,16721.76
Community Health,Licensed Vocational Nurse,113198.31
General Administration & Finance,IS Business Analyst-Senior,156176.28
General Administration & Finance,Planner 3,110194.9
"Public Works, Transportation & Commerce",Assoc Engineer,197141.51
Community Health,Nurse Practitioner,258284.09
Human Welfare & Neighborhood Development,Public Service Trainee,17490.98
"Public Works, Transportation & Commerce",Transit Operator,126213.93
Community Health,Patient Care Assistant,94501.42
Public Protection,Police Officer 3,215982.83
General Administration & Finance,Electrical Line Helper,46068.09
General Administration & Finance,Public Service Trainee,30015.53
Community Health,Special Nurse,14193.36
Public Protection,Police Officer 2,170941.27
Public Protection,Community Police Services Aide,84412.03
Community Health,Special Nurse,49903.12
Public Protection,Deputy Sheriff,163364.88
General Administration & Finance,Senior Clerk Typist,17781.38
"Public Works, Transportation & Commerce",General Laborer,111440.08
Community Health,Patient Care Assistant,17489.65
"Public Works, Transportation & Commerce",Public Svc Aide-Public Works,53730.23
Community Health,Special Nurse,46620.99
"Public Works, Transportation & Commerce",General Laborer,14616.1
Community Health,"Marriage, Family & Child Cnslr",134497.71
Community Health,Registered Nurse,208779.82
"Public Works, Transportation & Commerce",Parking Control Officer,101164.25
Public Protection,Police Officer,223052.14
"Public Works, Transportation & Commerce",Gardener,42195.39
"Public Works, Transportation & Commerce",School Crossing Guard,15549.04
"Public Works, Transportation & Commerce",Transit Operator,23921.77
Community Health,Licensed Vocational Nurse,85729.94
Human Welfare & Neighborhood Development,Social Work Specialist,97859.78
"Public Works, Transportation & Commerce",Meter Reader,79889.63
General Administration & Finance,Shelter Service Rep,77462.86
"Public Works, Transportation & Commerce",Senior Purchaser,15643.49
Community Health,Patient Care Assistant,79912.83
Culture & Recreation,Bldg & Grounds Patrol Officer,49052.56
Human Welfare & Neighborhood Development,Senior Eligibility Worker,114684.54
"Public Works, Transportation & Commerce",Structural Engineer,202101.52
Community Health,Unit Clerk,78202.75
"Public Works, Transportation & Commerce",Transit Operator,39299.64
General Administration & Finance,Personnel Analyst,38692.05
Public Protection,Police Officer,141719.57
"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",14264.5
"Public Works, Transportation & Commerce",Principal Account Clerk,110817.32
Culture & Recreation,Carpenter,129529.74
Community Health,Occupational Therapist,109455.1
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,28010.03
"Public Works, Transportation & Commerce",Transit Operator,98408.29
Public Protection,Police Officer 2,184423.86
"Public Works, Transportation & Commerce",Parking Control Officer,114261.36
Culture & Recreation,Sr Materials & Supplies Sprv,67595.12
"Public Works, Transportation & Commerce",Account Clerk,22647.38
"Public Works, Transportation & Commerce",Transit Supervisor,41649.62
"Public Works, Transportation & Commerce",Utility Plumber,173142.09
Human Welfare & Neighborhood Development,Community Development Spec,45934.5
Public Protection,Incident Support Specialist,192928.16
Public Protection,Police Officer,66626.56
"Public Works, Transportation & Commerce",Transit Operator,12469.99
"Public Works, Transportation & Commerce",Chemist I/II,122676.59
Community Health,Special Nurse,78553.01
"Public Works, Transportation & Commerce",General Laborer,103082.57
Culture & Recreation,Stationary Engineer,30337.16
General Administration & Finance,Benefits Technician,94898.91
Public Protection,Sergeant 3,199532.82
Public Protection,Police Officer 3,163637.16
"Public Works, Transportation & Commerce",Maintenance Machinist,161466.68
"Public Works, Transportation & Commerce",Asphalt Worker,114664.67
"Public Works, Transportation & Commerce",Transit Operator,125956.77
Community Health,Public Service Trainee,79063.42
Community Health,Manager II,157928.55
"Public Works, Transportation & Commerce",Transit Operator,138486.14
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,25638.65
General Administration & Finance,Custodian,31290.29
Public Protection,Deputy Sheriff (SFERS),149664.64
"Public Works, Transportation & Commerce",Transit Operator,39020.31
Community Health,Food Service Worker,83293.31
"Public Works, Transportation & Commerce",Transit Operator,101062.7
General Administration & Finance,Manager V,204426.87
"Public Works, Transportation & Commerce",Painter,92751.16
"Public Works, Transportation & Commerce",Transit Operator,56979.67
"Public Works, Transportation & Commerce",Transit Operator,126142.03
"Public Works, Transportation & Commerce","Investigator,Taxi & Accesssvcs",131769.67
Human Welfare & Neighborhood Development,HSA Social Worker,88322.55
Culture & Recreation,Gardener,122141.16
Public Protection,Public Safetycomm Disp,145249.51
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",25812.24
Community Health,Senior Industrial Hygienist,179580.41
Human Welfare & Neighborhood Development,"Rep, Human Rights Comm",114162.95
General Administration & Finance,Personnel Analyst,80735.58
"Public Works, Transportation & Commerce",Transit Operator,122061.96
Public Protection,Police Officer 2,51039.17
General Administration & Finance,Planner 2,65586.32
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,15822.21
"Public Works, Transportation & Commerce",Junior Engineer,101628.75
"Public Works, Transportation & Commerce",Custodian,70945.59
Human Welfare & Neighborhood Development,IT Operations Support Admin IV,112653.67
Human Welfare & Neighborhood Development,Program Specialist,65477.05
Public Protection,Public Defender's Investigator,116599.52
General Administration & Finance,Customer Service Agent Trainee,18110.45
"Public Works, Transportation & Commerce",Transit Operator,126362.54
Public Protection,"Sr Counselor, Juvenile Hall",148768.76
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,51957.78
"Public Works, Transportation & Commerce",Custodian,87218.97
Human Welfare & Neighborhood Development,Senior Eligibility Worker,75206.29
Public Protection,Deputy Sheriff,199117.49
Public Protection,Clerk,44753.52
Community Health,Diagnostic Imaging Tech II,16924.3
"Public Works, Transportation & Commerce",Landscape Architect Assoc 1,141964.97
General Administration & Finance,IS Trainer-Journey,125416.41
"Public Works, Transportation & Commerce",Plumber,174073.99
"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,83771.96
"Public Works, Transportation & Commerce",Transit Operator,119430.79
Community Health,Special Nurse,19227.48
Community Health,Registered Nurse,120511.4
Public Protection,Firefighter,192960.08
"Public Works, Transportation & Commerce",Construction Inspector,148749.2
General Administration & Finance,EEO Senior Specialist,164621.76
"Public Works, Transportation & Commerce",Utility Plumber,161840.89
"Public Works, Transportation & Commerce",Harbor Attendant (OCII),76780.58
"Public Works, Transportation & Commerce",IS Engineer-Journey,76436.66
Public Protection,Police Officer 3,165182.42
Human Welfare & Neighborhood Development,Program Specialist,122145.74
"Public Works, Transportation & Commerce",Engineering Associate 2,98750.77
"Public Works, Transportation & Commerce",Custodial Assistant Supervisor,99755.05
Community Health,Health Care Billing Clerk 2,104029.62
General Administration & Finance,"Srclaimsinvstgtor,Cty Atty Ofc",160856.13
Human Welfare & Neighborhood Development,IS Business Analyst-Senior,33916.62
Public Protection,Deputy Court Clerk II,111485.27
"Public Works, Transportation & Commerce",General Laborer,103616.07
Community Health,Senior Physician Specialist,257912.65
Community Health,Patient Care Assistant,101344.47
"Public Works, Transportation & Commerce",Assoc Engineer,150016.89
"Public Works, Transportation & Commerce",Transit Operator,77534.3
Community Health,Medical Evaluations Assistant,82314.85
Community Health,Registered Nurse,184664.03
Public Protection,Senior Deputy Sheriff,183949.95
"Public Works, Transportation & Commerce","Station Agent, Muni Railway",143401.58
Community Health,Licensed Vocational Nurse,22588.84
"Public Works, Transportation & Commerce",Senior Management Assistant,85130.33
Community Health,Registered Nurse,161895.36
Public Protection,Firefighter,286267.57
Community Health,Patient Svcs Finance Tech,95810.81
"Public Works, Transportation & Commerce",School Crossing Guard,11891.27
"Public Works, Transportation & Commerce",Transit Operator,55624.48
"Public Works, Transportation & Commerce",Manager II,99955.73
"Public Works, Transportation & Commerce",Transit Power Line Worker,212116.9
"Public Works, Transportation & Commerce",Parts Storekeeper,67726.1
"Public Works, Transportation & Commerce",Custodian,93161.2
Community Health,Senior Clerk,40447.18
"Public Works, Transportation & Commerce",Automotive Trnst Shop Sprv 1,214947.09
Community Health,Health Worker 3,84002.2
"Public Works, Transportation & Commerce",Window Cleaner,116755.9
Community Health,Cook,18210.24
"Public Works, Transportation & Commerce",Senior Electrical Inpsector,100239.0
General Administration & Finance,Principal Clerk,45976.04
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,10657.16
General Administration & Finance,Senior Personnel Analyst,71646.96
Public Protection,Police Officer 3,143124.43
"Public Works, Transportation & Commerce",Transit Operator,139489.94
Public Protection,Police Officer,31915.58
General Administration & Finance,Senior Collections Officer,109832.1
General Administration & Finance,Customer Service Agent,81293.93
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,174972.62
Community Health,IS Business Analyst-Senior,102490.52
Human Welfare & Neighborhood Development,Personnel Analyst,41014.77
"Public Works, Transportation & Commerce",Asst Engr,15533.73
Culture & Recreation,Truck Driver,131337.46
"Public Works, Transportation & Commerce",PS Aide To Prof,32211.78
Community Health,Senior Clerk,80575.15
General Administration & Finance,Manager I,101711.66
Community Health,Porter,84953.52
Public Protection,Security Guard,80859.19
Community Health,Central Processing & Dist Tech,41809.48
Public Protection,Police Officer,181719.59
Community Health,Porter,85236.62
Human Welfare & Neighborhood Development,Emp & Training Spec 2,52373.77
"Public Works, Transportation & Commerce",Lighting Fixture Maint Worker,20471.3
Public Protection,Police Officer,128153.5
Public Protection,Police Officer 3,193199.31
Culture & Recreation,Library Technical Assistant 2,115735.7
Public Protection,Police Officer 2,185376.57
Community Health,Health Worker 3,79363.23
Public Protection,Sergeant 3,220080.5
"Public Works, Transportation & Commerce",Manager II,12444.77
"Public Works, Transportation & Commerce",Transit Fare Inspector,116438.13
Culture & Recreation,Manager III,206527.78
Culture & Recreation,Pool Lifeguard,11534.07
Community Health,Materials Coordinator,163962.77
"Public Works, Transportation & Commerce",Planner 3-Environmental Review,144490.54
"Public Works, Transportation & Commerce",Street Inspection Supervisor,104154.59
"Public Works, Transportation & Commerce",Executive Contract Employee,238860.12
Community Health,Health Care Billing Clerk 2,106493.87
Public Protection,Police Officer 3,186209.72
Public Protection,Police Officer 2,174339.87
Human Welfare & Neighborhood Development,Program Specialist,43762.87
"Public Works, Transportation & Commerce",IS Project Director,208064.01
"Public Works, Transportation & Commerce",Asst Engr,14404.61
Human Welfare & Neighborhood Development,Senior Clerk Typist,92738.92
Public Protection,Police Officer 2,179519.34
Community Health,Senior Clerk,87968.94
Community Health,Porter,64424.51
Community Health,Registered Nurse,191834.47
"Public Works, Transportation & Commerce",Senior Parking Control Officer,99379.91
Public Protection,Police Officer,56479.14
General Administration & Finance,Contract Compliance Officer 2,178365.92
Community Health,Nurse Practitioner,199652.8
Human Welfare & Neighborhood Development,Senior Eligibility Worker,15827.79
"Public Works, Transportation & Commerce",Secretary 2,100830.25
Culture & Recreation,Library Page,40038.18
Public Protection,Deputy Sheriff,21964.63
"Public Works, Transportation & Commerce",Senior Water Services Clerk,105268.49
"Public Works, Transportation & Commerce",Landscape Architect Assoc 1,84977.29
Community Health,Patient Care Assistant,105225.37
Public Protection,Sergeant 3,207606.74
Community Health,Cook,18739.52
"Public Works, Transportation & Commerce",Senior Const Inspector,187271.32
Public Protection,Lieutenant 3,60285.0
"Public Works, Transportation & Commerce",Maintenance Machinist Sprv 1,152139.88
General Administration & Finance,Stationary Engineer,21838.4
"Public Works, Transportation & Commerce",Custodian,50754.96
"Public Works, Transportation & Commerce",Electrical Transit System Mech,125259.34
"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,208859.92
"Public Works, Transportation & Commerce",Chief Surveyor,65218.16
Community Health,Registered Nurse,163547.75
Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,160032.63
"Public Works, Transportation & Commerce",General Laborer,21588.12
"Public Works, Transportation & Commerce",Utility Analyst,125797.56
"Public Works, Transportation & Commerce",Transit Car Cleaner,50024.22
"Public Works, Transportation & Commerce","Station Agent, Muni Railway",158846.72
"Public Works, Transportation & Commerce",Senior Const Inspector,141012.93
General Administration & Finance,Shelter Service Rep,61374.86
Community Health,Patient Care Assistant,95229.69
Culture & Recreation,Stationary Engineer,14099.03
Community Health,Diagnostic Imaging Tech IV,145213.73
"Public Works, Transportation & Commerce",Public Service Trainee,10759.65
"Public Works, Transportation & Commerce",Permit Technician I,33650.8
"Public Works, Transportation & Commerce",Electrical Transit System Mech,150820.92
"Public Works, Transportation & Commerce",Storekeeper,41717.83
Public Protection,Police Officer 3,210004.34
"Public Works, Transportation & Commerce",Manager I,180734.22
Community Health,Eligibility Worker,105005.98
Community Health,Medical Social Worker,129189.68
Public Protection,Police Officer,129666.4
Public Protection,Sheriff's Sergeant,204781.12
"Public Works, Transportation & Commerce","Manager VIII, MTA",28218.68
Community Health,Senior Clerk,84103.31
Human Welfare & Neighborhood Development,Public Service Trainee,11406.89
Community Health,Patient Care Assistant,103566.31
Community Health,Manager IV,234906.67
Community Health,Special Nurse,116878.9
Public Protection,Deputy Sheriff,100347.01
Public Protection,Public Safetycomm Disp,85097.88
Culture & Recreation,Recreation Leader,20279.84
"Public Works, Transportation & Commerce",General Laborer,100431.39
Community Health,Porter Supervisor 1,127585.98
"Public Works, Transportation & Commerce","Electrl Trnst Mech, Asst Sprv",195730.23
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,14039.9
Community Health,Nurse Practitioner,25158.5
General Administration & Finance,PS Aide To Prof,32993.34
Culture & Recreation,Library Technical Assistant 2,109299.13
Community Health,Senior Administrative Analyst,47296.4
"Public Works, Transportation & Commerce",Transit Operator,45924.36
Public Protection,Police Officer,181255.95
Public Protection,Police Officer 2,136903.69
Community Health,PS Aide Health Services,12603.31
Community Health,Physician Specialist,231337.39
Human Welfare & Neighborhood Development,Protective Services Worker,130232.69
Community Health,Patient Care Assistant,96678.98
"Public Works, Transportation & Commerce",Clerk,83708.6
"Public Works, Transportation & Commerce",Plumber,157181.26
Public Protection,Senior Fiscal Technician,118893.27
Public Protection,Clerk Typist,86720.41
"Public Works, Transportation & Commerce",Painter,43939.45
"Public Works, Transportation & Commerce",PS Aide To Prof,41128.17
Community Health,Medical Evaluations Assistant,52631.66
"Public Works, Transportation & Commerce",Maintenance Controller,166967.4
"Public Works, Transportation & Commerce",Plumber,152871.84
Human Welfare & Neighborhood Development,Environmental Assistant,105721.86
Public Protection,Police Officer,142593.83
Public Protection,Firefighter,158854.08
General Administration & Finance,Sr Payroll & Personnel Clerk,112736.2
General Administration & Finance,Automotive Machinist,117515.32
Culture & Recreation,Carpenter,125903.82
